	17-AAG
697	0.451354
5637	2.8576599999999996
23132-87	1.563772
639-V	1.6444009999999998
647-V	3.6709379999999996
786-0	1.872032
8-MG-BA	2.3567869999999997
8505C	0.09062100000000001
A101D	0.4716010000000001
A172	1.478594
A204	3.794493
A2058	3.137643
A253	1.199554
A2780	2.032146
A3-KAW	2.339257
A375	1.510702
A4-Fuk	4.250235
A427	0.8679600000000001
A431	2.499837
A498	2.2847869999999997
A549	6.9761
A673	4.017478
A704	0.510204
ABC-1	3.847032
ACHN	0.5013890000000001
ACN	3.179132
AGS	4.073305
ALL-PO	0.111275
AM-38	1.5679290000000001
AN3-CA	2.995755
ARH-77	3.082277
AsPC-1	1.8822619999999999
ATN-1	2.235607
BALL-1	3.5113269999999996
BB30-HNC	3.159443
BB49-HNC	3.159846
BB65-RCC	2.2486990000000002
BC-1	0.777776
BCPAP	1.667504
BE-13	3.5583139999999998
Becker	3.247954
BEN	2.472411
BFTC-905	1.154515
BFTC-909	2.529662
BHT-101	2.627166
BHY	1.440056
BL-41	0.659834
BPH-1	2.009152
BT-20	0.10619400000000001
BT-549	2.1371849999999997
BV-173	0.898207
BxPC-3	2.001277
C2BBe1	1.5055129999999999
C32	5.420083999999999
C3A	0.788836
Ca-Ski	1.4078540000000002
CA46	4.117428
Ca9-22	1.494456
CAKI-1	1.135961
CAL-120	0.627379
CAL-12T	0.849091
CAL-27	1.693539
CAL-33	0.30087600000000003
CAL-39	2.555425
CAL-51	4.265473
CAL-54	1.400962
CAL-62	1.8220619999999998
CAL-85-1	3.563364
Calu-3	1.5655860000000001
Calu-6	2.970005
CAMA-1	2.046046
Caov-4	3.8178769999999997
CAPAN-1	0.7447550000000001
CaR-1	3.090364
CAS-1	0.553515
CCF-STTG1	2.867506
CCRF-CEM	0.718093
CESS	0.786716
CFPAC-1	0.980351
CGTH-W-1	4.281031
ChaGo-K-1	0.5847289999999999
CHL-1	3.794002
CHP-134	1.245279
CHP-212	3.20946
COLO-205	3.4851900000000002
COLO-320-HSR	5.231767
COLO-668	0.888713
COLO-678	1.425273
COLO-679	2.188303
COLO-680N	0.114351
COLO-684	0.241175
COLO-741	3.3554910000000002
COLO-792	1.163124
COLO-800	1.354319
COLO-824	1.75479
COR-L105	4.377592
COR-L23	0.760062
COR-L279	4.687974
COR-L88	0.891669
CP66-MEL	0.415941
CPC-N	4.545281
CRO-AP2	0.623849
CTB-1	2.147152
CTV-1	0.7526970000000001
CW-2	1.267832
D-247MG	2.358639
D-263MG	3.580577
D-283MED	0.809959
D-336MG	3.4084339999999997
D-392MG	0.112541
D-423MG	1.856741
D-502MG	3.127904
D-542MG	2.0546450000000003
D-566MG	5.545848
Daoy	1.1481350000000001
Daudi	3.487074
DB	1.091113
DBTRG-05MG	0.8515
DEL	1.041788
DG-75	0.680218
DJM-1	0.181328
DK-MG	0.989183
DMS-114	1.5144469999999999
DMS-273	1.081285
DMS-53	3.1653439999999997
DOHH-2	3.9053120000000003
DOK	3.9026330000000002
DoTc2-4510	1.390686
DSH1	3.2683310000000003
DU-145	1.026623
DU-4475	1.355841
EB-3	4.354234
EB2	4.878998999999999
EC-GI-10	0.138601
EFM-19	0.38379
EFO-21	1.272398
EFO-27	2.3029349999999997
EGI-1	2.97543
EKVX	0.030731
EM-2	0.39966199999999996
EoL-1-cell	0.582343
EPLC-272H	2.77985
ES1	1.119567
ES3	0.525536
ES5	1.633988
ES6	1.503315
ES7	2.427566
ES8	2.3198630000000002
ESS-1	0.898076
ETK-1	1.8388400000000005
EVSA-T	3.039243
EW-1	3.7722269999999996
EW-11	3.9683059999999997
EW-13	4.250178
EW-16	0.603634
EW-18	3.146968
EW-22	1.07446
EW-24	3.8524
EW-3	2.107907
EW-7	3.4498550000000003
FADU	5.5623
FTC-133	1.7993919999999999
G-361	0.677412
G-401	2.267887
GAK	1.9975009999999997
GAMG	3.3712779999999998
GCIY	0.085086
GCT	3.0162150000000003
GI-1	1.9269999999999998
GI-ME-N	0.258318
GMS-10	2.703162
GOTO	0.79496
GP5d	1.958706
GR-ST	0.694006
GT3TKB	2.823066
H-EMC-SS	3.0930880000000003
H4	3.476839
H9	0.93121
HC-1	0.6209819999999999
HCC1143	1.7059
HCC1187	4.258794
HCC1395	2.03879
HCC1419	1.925761
HCC1806	1.901399
HCC1937	1.3990719999999999
HCC1954	0.851891
HCC2157	2.406822
HCC2218	0.684634
HCC2998	1.457943
HCC38	1.201387
HCC70	0.2232510000000001
HCE-4	0.745568
HCT-116	1.324298
HCT-15	1.217667
HD-MY-Z	2.218892
HDLM-2	0.4826220000000001
HEC-1	2.719864
HEL	3.769097
HGC-27	5.278779
HH	0.704812
HL-60	0.635417
HLE	2.55112
HMV-II	2.026638
HN	3.153172
HO-1-N-1	3.213756
HOP-62	2.242555
HOP-92	0.673451
HOS	0.8751110000000001
HPAF-II	1.548145
Hs-578-T	2.6299810000000003
HSC-2	1.077256
HSC-3	4.679092
HT	3.298806
HT-1080	2.4722560000000002
HT-1197	0.582761
HT-1376	1.7757020000000001
HT-144	3.001368
HT-29	3.417676
HT-3	0.7294510000000001
HT55	1.5780399999999999
HTC-C3	1.327796
HuCCT1	1.130635
HuH-7	1.276518
HuO-3N1	0.562492
HuO9	2.5784849999999997
HuP-T3	1.2444870000000001
HuP-T4	1.5563799999999999
HUTU-80	0.510373
IA-LM	3.146274
IGR-1	0.235181
IGROV-1	1.690473
IM-9	3.223695
IMR-5	4.965424
IPC-298	2.583548
IST-MEL1	7.805553
IST-MES1	3.52795
IST-SL1	0.586446
IST-SL2	3.92065
J-RT3-T3-5	1.275315
J82	1.299564
JAR	3.19168
JEG-3	1.6763689999999998
JiyoyeP-2003	2.749562
JVM-2	0.06982000000000001
JVM-3	0.978383
K5	1.411391
KALS-1	0.216009
KARPAS-299	0.338156
KARPAS-422	0.339348
KARPAS-45	1.9410060000000002
KE-37	2.50088
KGN	1.808159
KINGS-1	1.405329
KM-H2	0.937665
KM12	3.0989720000000003
KMOE-2	2.430752
KNS-42	0.264635
KNS-62	1.136698
KNS-81-FD	1.69314
KOSC-2	1.7296599999999998
KP-4	3.046416
KP-N-YN	1.3698489999999999
KP-N-YS	0.981807
KS-1	4.301362999999999
KU-19-19	2.942375
KURAMOCHI	0.31364000000000003
KY821	0.278812
KYSE-140	2.815397
KYSE-150	2.9497169999999997
KYSE-270	1.466026
KYSE-410	3.2887690000000003
KYSE-450	2.171216
KYSE-510	3.0685830000000003
KYSE-520	1.7037759999999995
KYSE-70	1.100126
L-363	0.4739640000000001
L-428	4.80399
L-540	1.8699860000000001
LAMA-84	0.177527
LAN-6	2.7370520000000003
LB1047-RCC	2.938232
LB2241-RCC	2.2972029999999997
LB2518-MEL	1.3556860000000002
LB373-MEL-D	1.467989
LB771-HNC	0.7911560000000001
LB831-BLC	1.9745240000000002
LB996-RCC	1.090068
LC4-1	4.9456489999999995
LCLC-103H	3.2126509999999997
LCLC-97TM1	2.438577
LK-2	1.698125
LN-405	0.87497
LNCaP-Clone-FGC	0.22309400000000001
LOUCY	2.109225
LoVo	1.640686
LOXIMVI	4.205671
LS-1034	1.6906619999999999
LS-123	0.32998
LS-411N	0.765134
LS-513	1.428748
LU-134-A	1.949978
LU-135	1.095474
LU-139	0.708596
LU-65	4.836235
LU-99A	2.77464
LXF-289	3.995533
M059J	2.404909
M14	2.5367189999999997
MC-IXC	0.35326399999999997
MCF7	2.335379
MDA-MB-157	1.4577149999999999
MDA-MB-175-VII	3.395001
MDA-MB-231	3.8093230000000013
MDA-MB-361	3.565462
MDA-MB-415	0.344902
MDA-MB-453	0.3978
MDA-MB-468	3.46999
ME-180	2.472984
MEG-01	2.11774
