	SNHGW	DSVZL	LMIBW	QGLJS	VDJAT	XLGSY	BHZNK	SDCGW	FNAJX
ENSG00000000005	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
ENSG00000000419	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
ENSG00000000457	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
ENSG00000000460	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
ENSG00000000938	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
ENSG00000000971	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000001084	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
ENSG00000001167	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
ENSG00000001497	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
ENSG00000001617	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
ENSG00000001626	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ENSG00000001630	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
